Date,Open,High,Low,Close,Adj_close,Volume,Normalized_sentiment
1962-06-27,4.70587492,4.70587492,4.64580011,4.70587492,1.11862028,33900,0.5
1962-06-28,4.73791504,5.0062499,4.73791504,5.0062499,1.19002235,130400,0.5
1962-06-29,5.03829002,5.22251987,5.03829002,5.20650005,1.23762238,85800,0.5
1962-07-02,5.23854017,5.53891516,5.23854017,5.42277002,1.28903079,84500,0.5
1962-07-03,5.42277002,5.60699987,5.42277002,5.55493498,1.32044744,92500,0.5
1962-07-05,5.55493498,5.80725002,5.54692507,5.80725002,1.38042521,61900,0.5
1962-07-06,5.73916483,5.73916483,5.63903999,5.6470499,1.34234416,64500,0.5
1962-07-09,5.6470499,5.70712519,5.53891516,5.70712519,1.35662496,86500,0.5
1962-07-10,5.70712519,5.90737486,5.60699987,5.61500978,1.3347286,60500,0.5
1962-07-11,5.61500978,5.72314501,5.53891516,5.70712519,1.35662496,34500,0.5
1962-07-12,5.70712519,5.73916483,5.63903999,5.6630702,1.34615254,70500,0.5
1962-07-13,5.6630702,5.70712519,5.63903999,5.65505981,1.34424949,35900,0.5
1962-07-16,5.63103008,5.63103008,5.54692507,5.56294489,1.32235193,25900,0.5
1962-07-17,5.56294489,5.56294489,5.4067502,5.4067502,1.28522372,24500,0.5
1962-07-18,5.4067502,5.53891516,5.30662489,5.51488495,1.31092763,38500,0.5
1962-07-19,5.51488495,5.60699987,5.43878984,5.43878984,1.29283845,56500,0.5
1962-07-20,5.43878984,5.60699987,5.42477226,5.46282005,1.29855204,25900,0.5
1962-07-23,5.46282005,5.46282005,5.42277002,5.42277002,1.28903079,28500,0.5
1962-07-24,5.42277002,5.44680023,5.35468483,5.35468483,1.27284706,25900,0.5
1962-07-25,5.33866501,5.33866501,5.20650005,5.32264519,1.26523125,60500,0.5
1962-07-26,5.34667492,5.45481014,5.34667492,5.35468483,1.27284706,53900,0.5
1962-07-27,5.36269522,5.60699987,5.36269522,5.60699987,1.33282542,43900,0.5
1962-07-30,5.60699987,5.75518513,5.60699987,5.6630702,1.34615254,50500,0.5
1962-07-31,5.73115492,5.83929014,5.73115492,5.82326984,1.38423336,88500,0.5
1962-08-01,5.83929014,5.94742489,5.83929014,5.90737486,1.40422547,65900,0.5
1962-08-02,5.90737486,5.93941498,5.90737486,5.91538477,1.40613067,49900,0.5
1962-08-03,5.91538477,5.9554348,5.85530996,5.93140507,1.4099381,36500,0.5
1962-08-06,5.93140507,5.96344519,5.83128023,5.85530996,1.39184904,34500,0.5
1962-08-07,5.85530996,5.85530996,5.7151351,5.7151351,1.35852921,41900,0.5
1962-08-08,5.7151351,5.83929014,5.6470499,5.82326984,1.38423336,32500,0.5
1962-08-09,5.90737486,5.93941498,5.90737486,5.93140507,1.4099381,26500,0.5
1962-08-10,5.93140507,6.10762501,5.93140507,6.0475502,1.43754637,59900,0.5
1962-08-13,6.0475502,6.05556011,6.02351999,6.0475502,1.43754637,19900,0.5
1962-08-14,6.0475502,6.24779987,5.9554348,6.20774984,1.48299277,50500,0.5
1962-08-15,6.26382017,6.34792519,6.26382017,6.32589769,1.51121855,52500,0.5
1962-08-16,6.33190489,6.40799999,6.33190489,6.36394501,1.52030778,58500,0.5
1962-08-17,6.3559351,6.3559351,6.33190489,6.33190489,1.51265311,34500,0.5
1962-08-20,6.33190489,6.3559351,6.32389498,6.3399148,1.51456594,26500,0.5
1962-08-21,6.32389498,6.32389498,6.15568495,6.15568495,1.47055578,42500,0.5
1962-08-22,6.15568495,6.20774984,6.0475502,6.05556011,1.44663632,47900,0.5
1962-08-23,6.05556011,6.1266489,6.05556011,6.05556011,1.44663632,41900,0.5
1962-08-24,6.05556011,6.05556011,5.93941498,5.93941498,1.41889036,45900,0.5
1962-08-27,5.93941498,6.03953981,5.92339516,6.03953981,1.4428091,44500,0.5
1962-08-28,6.03953981,6.05556011,6.00750017,6.00750017,1.43515563,35900,0.5
1962-08-29,5.93941498,5.93941498,5.85530996,5.93941498,1.41889036,35900,0.5
1962-08-30,5.93941498,5.93941498,5.81525993,5.81525993,1.38922966,27900,0.5
1962-08-31,5.81525993,5.90737486,5.75518513,5.86331987,1.40071118,25900,0.5
1962-09-04,5.90737486,5.9554348,5.90737486,5.90737486,1.41123509,24500,0.5
1962-09-05,5.93140507,6.03953981,5.93140507,5.94742489,1.42080271,47900,0.5
1962-09-06,5.94742489,6.01551008,5.93140507,5.9554348,1.42271698,36500,0.5
1962-09-07,5.9554348,6.10762501,5.90737486,5.93941498,1.41889036,42500,0.5
1962-09-10,5.93941498,5.9554348,5.90737486,5.93941498,1.41889036,14600,0.5
1962-09-11,5.93941498,6.03953981,5.93941498,5.9554348,1.42271698,34500,0.5
1962-09-12,5.9554348,6.00750017,5.93941498,5.96344519,1.42463052,27900,0.5
1962-09-13,5.96344519,6.02351999,5.93140507,5.93941498,1.41889036,20500,0.5
1962-09-14,5.93941498,5.96344519,5.93941498,5.9554348,1.42271698,29900,0.5
1962-09-17,5.9554348,6.02351999,5.92339516,5.92339516,1.41506267,55900,0.5
1962-09-18,5.92339516,5.93941498,5.75518513,5.75518513,1.37487841,40500,0.5
1962-09-19,5.75518513,5.82326984,5.73916483,5.76319504,1.37679112,27900,0.5
1962-09-20,5.76319504,5.80725002,5.63903999,5.63903999,1.34713233,42500,0.5
1962-09-21,5.60699987,5.60699987,5.44680023,5.45481014,1.30312037,25900,0.5
1962-09-24,5.4067502,5.4067502,5.15443516,5.25455999,1.25528157,73900,0.5
1962-09-25,5.3306551,5.53891516,5.3306551,5.51488495,1.31747198,69900,0.5
1962-09-26,5.51488495,5.52289486,5.33866501,5.36269522,1.28111506,36500,0.5
1962-09-27,5.32264519,5.32264519,5.24655008,5.25455999,1.25528157,41900,0.5
1962-09-28,5.25455999,5.33866501,5.21450996,5.21450996,1.24571526,45900,0.5
1962-10-01,5.21450996,5.22251987,5.10637522,5.11438513,1.22179508,37900,0.5
1962-10-02,5.11438513,5.23052979,5.05430984,5.21450996,1.24571526,62500,0.5
1962-10-03,5.21450996,5.23052979,5.15443516,5.15443516,1.23136282,26500,0.5
1962-10-04,5.15443516,5.15443516,5.11438513,5.13841486,1.22753537,35900,0.5
1962-10-05,5.13841486,5.32264519,5.12239504,5.32264519,1.27154696,43900,0.5
1962-10-08,5.32264519,5.35468483,5.2625699,5.2625699,1.25719547,26500,0.5
1962-10-09,5.2625699,5.33866501,5.24655008,5.33866501,1.27537501,21900,0.5
1962-10-10,5.4067502,5.46282005,5.4067502,5.4067502,1.29163969,20500,0.5
1962-10-11,5.33866501,5.33866501,5.23854017,5.30662489,1.26771963,33900,0.5
1962-10-12,5.30662489,5.33866501,5.30662489,5.33866501,1.27537501,22500,0.5
1962-10-15,5.33866501,5.33866501,5.30662489,5.32264519,1.27154696,29900,0.5
1962-10-16,5.32264519,5.4067502,5.3146348,5.3146348,1.26963353,25900,0.5
1962-10-17,5.23854017,5.23854017,5.15443516,5.22251987,1.24762774,54500,0.5
1962-10-18,5.20650005,5.20650005,5.11438513,5.13040495,1.22562289,33900,0.5
1962-10-19,5.13040495,5.14642477,5.03829002,5.03829002,1.2036159,41900,0.5
1962-10-22,5.03829002,5.03829002,4.93816519,4.93816519,1.17969751,65900,0.5
1962-10-23,4.95418501,5.15443516,4.95418501,4.95418501,1.18352532,53900,0.5
1962-10-24,4.95418501,5.22251987,4.93816519,5.20650005,1.24380112,53900,0.5
1962-10-25,5.20650005,5.35468483,5.10637522,5.33866501,1.27537501,61900,0.5
1962-10-26,5.32264519,5.32264519,5.21450996,5.23854017,1.25145483,59900,0.5
1962-10-29,5.25455999,5.42277002,5.25455999,5.25455999,1.25528157,53900,0.5
1962-10-30,5.25455999,5.32264519,5.15443516,5.24655008,1.25336957,60500,0.5
1962-10-31,5.25455999,5.34667492,5.25455999,5.3306551,1.27346194,33900,0.5
1962-11-01,5.3306551,5.4067502,5.22251987,5.36269522,1.28111506,46500,0.5
1962-11-02,5.36269522,5.41476011,5.22251987,5.35468483,1.27920127,67900,0.5
1962-11-05,5.35468483,5.43077993,5.34667492,5.42277002,1.29546666,35900,0.5
1962-11-07,5.4067502,5.4067502,5.30662489,5.32264519,1.27154696,52500,0.5
1962-11-08,5.32264519,5.32264519,5.12239504,5.13841486,1.22753537,31900,0.5
1962-11-09,5.13841486,5.3146348,5.13841486,5.3146348,1.26963353,42500,0.5
1962-11-12,5.34667492,5.4067502,5.34667492,5.34667492,1.2772876,55900,0.5
1962-11-13,5.34667492,5.36269522,5.30662489,5.32264519,1.27873123,74500,0.5
1962-11-14,5.32264519,5.65505981,5.25455999,5.56294489,1.33646226,88500,0.5
1962-11-15,5.56294489,5.65505981,5.50687504,5.50687504,1.32299149,6471900,0.5
1962-11-16,5.50687504,5.50687504,5.43878984,5.45481014,1.31048346,42500,0.5
1962-11-19,5.45481014,5.45481014,5.35468483,5.4067502,1.29893768,40500,0.5
