Date,Article_title,Stock_symbol,Url,Publisher,Author,Article,Lsa_summary,Luhn_summary,Textrank_summary,Lexrank_summary
2020-05-27 00:00:00 UTC,Amazon Looks To Double-Down On Self-Driving Tech With Zoox Acquisition: WSJ,AMZN,https://www.benzinga.com/news/20/05/16112895/amazon-looks-to-double-down-on-self-driving-tech-with-zoox-acquisition-wsj,Neer Varshney,,,,,,
2020-05-27 00:00:00 UTC,"Trump Gets Mad Over Fact Check Warning On Twitter, Claims Election Interference",AMZN,https://www.benzinga.com/news/20/05/16112830/trump-gets-mad-over-fact-check-warning-on-twitter-claims-election-interference,Shivdeep Dhaliwal,,,,,,
2020-05-26 00:00:00 UTC,Amazon in Advanced Talks to Buy Self-Driving-Car Tech Company Zoox; Deal Expected to Value Zoox at Less Than Its Private Valuation,AMZN,https://www.benzinga.com/m-a/20/05/16112768/amazon-in-advanced-talks-to-buy-self-driving-car-tech-company-zoox-deal-expected-to-value-zoox-at-le,Charles Gross,,,,,,
2020-05-26 00:00:00 UTC,Amazon Expects To Invest $4B Apr.-June On Covid Initiatives,AMZN,https://www.benzinga.com/news/20/05/16110246/amazon-expects-to-invest-4b-apr-june-on-covid-initiatives,Benzinga Newsdesk,,,,,,
2020-05-26 00:00:00 UTC,"Aircraft Prices, E-Commerce Conditions Are Ripe For Amazon Air, Says Bullish BofA",AMZN,https://www.benzinga.com/analyst-ratings/analyst-color/20/05/16105886/aircraft-prices-e-commerce-conditions-are-ripe-for-amazon-air-says-bullish-bofa,Priya Nigam,,,,,,
2020-05-26 00:00:00 UTC,"'Amazon is looking to invest in localized podcast content, like news and sports' -Axios, Citing Sources",AMZN,https://www.benzinga.com/news/20/05/16106302/amazon-is-looking-to-invest-in-localized-podcast-content-like-news-and-sports-axios-citing-sources,Benzinga Newsdesk,,,,,,
2020-05-26 00:00:00 UTC,In Consumers We Trust: 3 Leveraged ETFs That Surged In April,AMZN,https://www.benzinga.com/etfs/sector-etfs/20/05/16105814/in-consumers-we-trust-3-leveraged-etfs-that-surged-in-april,Direxion,,,,,,
2020-05-26 00:00:00 UTC,"'FAANG Stocks Are Strong Once Again,' Facebook, Amazon, Netflix Hit Record Highs Last Week",AMZN,https://www.benzinga.com/news/20/05/16103196/faang-stocks-are-strong-once-again-facebook-amazon-netflix-hit-record-highs-last-week,Neer Varshney,,,,,,
2020-05-26 00:00:00 UTC,Amazon Shareholders Demand Disclosures On COVID-19 Worker Safety,AMZN,https://www.benzinga.com/news/20/05/16102939/amazon-shareholders-demand-disclosures-on-covid-19-worker-safety,Shivdeep Dhaliwal,,,,,,
2020-05-23 00:00:00 UTC,"Barron's Picks And Pans: Dropbox, Slack, Starbucks And More",AMZN,https://www.benzinga.com/media/20/05/16100392/barrons-picks-and-pans-dropbox-slack-starbucks-and-more,Nelson Hem,,,,,,
2020-05-22 00:00:00 UTC,3 Tips To Make Money In The Stock Market,AMZN,https://www.benzinga.com/markets/options/20/05/16096164/3-tips-to-make-money-in-the-stock-market,Renato Capelj,,,,,,
2020-05-22 00:00:00 UTC,The Secret to Tech's Resilience to COVID-19- Infrastructure Expansion,AMZN,https://www.benzinga.com/news/earnings/20/05/16093892/the-secret-to-techs-resilience-to-covid-19-infrastructure-expansion,IAM Newswire,,,,,,
2020-05-22 00:00:00 UTC,A Peek Into The Markets: US Stock Futures Down Ahead Of Three-Day Weekend,AMZN,https://www.benzinga.com/news/earnings/20/05/16092377/a-peek-into-the-markets-us-stock-futures-down-ahead-of-three-day-weekend,Lisa Levin,,,,,,
2020-05-22 00:00:00 UTC,Amazon Reschedules Prime Day to September As It Tries To Restore Pre-Pandemic Operations,AMZN,https://www.benzinga.com/news/20/05/16091350/amazon-reschedules-prime-day-to-september-as-it-tries-to-restore-pre-pandemic-operations,Shivdeep Dhaliwal,,,,,,
2020-05-22 00:00:00 UTC,"KKR To Invest $1.5B In India's Jio Platforms, Joins Facebook, Three Other US Firms As Stakeholders",AMZN,https://www.benzinga.com/news/20/05/16091364/kkr-to-invest-1-5b-in-indias-jio-platforms-joins-facebook-three-other-us-firms-as-stakeholders,Neer Varshney,,,,,,
2020-05-21 00:00:00 UTC,"Here's How Much Investing $1,000 In The 2015 Shopify IPO Would Be Worth Today",AMZN,https://www.benzinga.com/general/education/20/05/16085330/heres-how-much-investing-1-000-in-the-2015-shopify-ipo-would-be-worth-today,Wayne Duggan,,,,,,
2020-05-21 00:00:00 UTC,Making Sense Of Walmart's Decision To Close Jet.com: 'Mission Accomplished',AMZN,https://www.benzinga.com/analyst-ratings/analyst-color/20/05/16087942/making-sense-of-walmarts-decision-to-close-jet-com-mission-accomplished,Jayson Derrick,,,,,,
