Date,Sentiment_avg,Last_valid_sentiment,Last_valid_date,Days_since_last_valid,Decayed_sentiment
2020-10-07,,4.5,2020-09-24,13,3.0022551587894664
2020-10-08,,4.5,2020-09-24,14,3.001367822948332
2020-10-09,2.6666666666666665,2.6666666666666665,2020-10-09,0,2.6666666666666665
2020-10-10,,2.6666666666666665,2020-10-09,1,2.7978231134291223
2020-10-11,,2.6666666666666665,2020-10-09,2,2.8773735196095194
2020-10-12,,2.6666666666666665,2020-10-09,3,2.9256232799505235
2020-10-13,1.5,1.5,2020-10-13,0,1.5
2020-10-14,3.125,3.125,2020-10-14,0,3.125
2020-10-15,1.25,1.25,2020-10-15,0,1.25
2020-10-16,,1.25,2020-10-15,1,1.9385713455028915
2020-10-17,,1.25,2020-10-15,2,2.356210977949976
2020-10-18,,1.25,2020-10-15,3,2.609522219740248
2020-10-19,,1.25,2020-10-15,4,2.763163254335928
2020-10-20,,1.25,2020-10-15,5,2.856351252408177
2020-10-21,2.5,2.5,2020-10-21,0,2.5
2020-10-22,3.0,3.0,2020-10-22,0,3.0
2020-10-23,,3.0,2020-10-22,1,3.0
2020-10-24,,3.0,2020-10-22,2,3.0
2020-10-25,,3.0,2020-10-22,3,3.0
2020-10-26,,3.0,2020-10-22,4,3.0
2020-10-27,2.5,2.5,2020-10-27,0,2.5
2020-10-28,3.5,3.5,2020-10-28,0,3.5
2020-10-29,,3.5,2020-10-28,1,3.3032653298563166
2020-10-30,,3.5,2020-10-28,2,3.1839397205857214
2020-10-31,,3.5,2020-10-28,3,3.111565080074215
2020-11-01,,3.5,2020-10-28,4,3.067667641618306
2020-11-02,,3.5,2020-10-28,5,3.0410424993119496
2020-11-03,,3.5,2020-10-28,6,3.024893534183932
2020-11-04,,3.5,2020-10-28,7,3.015098691711159
2020-11-05,,3.5,2020-10-28,8,3.009157819444367
2020-11-06,,3.5,2020-10-28,9,3.005554498269121
2020-11-07,,3.5,2020-10-28,10,3.003368973499543
2020-11-08,,3.5,2020-10-28,11,3.002043385719232
2020-11-09,,3.5,2020-10-28,12,3.0012393760883334
2020-11-10,,3.5,2020-10-28,13,3.000751719596489
2020-11-11,,3.5,2020-10-28,14,3.000455940982777
2020-11-12,,3.5,2020-10-28,15,3.000276542185074
2020-11-13,,3.5,2020-10-28,16,3.0001677313139514
2020-11-14,,3.5,2020-10-28,17,3.0001017341845055
2020-11-15,,3.5,2020-10-28,18,3.0000617049020435
2020-11-16,,3.5,2020-10-28,19,3.000037425914944
2020-11-17,,3.5,2020-10-28,20,3.000022699964881
