Date,Sentiment_avg,Last_valid_sentiment,Last_valid_date,Days_since_last_valid,Decayed_sentiment
2010-04-29,,4.0,2010-04-28,1,3.60653066
2010-04-30,,4.0,2010-04-28,2,3.36787944
2010-05-01,,4.0,2010-04-28,3,3.22313016
2010-05-02,,4.0,2010-04-28,4,3.13533528
2010-05-03,3.0,3.0,2010-05-03,0,3.0
2010-05-04,,3.0,2010-05-03,1,3.0
2010-05-05,,3.0,2010-05-03,2,3.0
2010-05-06,,3.0,2010-05-03,3,3.0
2010-05-07,,3.0,2010-05-03,4,3.0
2010-05-08,,3.0,2010-05-03,5,3.0
2010-05-09,,3.0,2010-05-03,6,3.0
2010-05-10,,3.0,2010-05-03,7,3.0
2010-05-11,,3.0,2010-05-03,8,3.0
2010-05-12,,3.0,2010-05-03,9,3.0
2010-05-13,1.0,1.0,2010-05-13,0,1.0
2010-05-14,,1.0,2010-05-13,1,1.78693868
2010-05-15,,1.0,2010-05-13,2,2.26424112
2010-05-16,,1.0,2010-05-13,3,2.55373968
2010-05-17,,1.0,2010-05-13,4,2.72932943
2010-05-18,,1.0,2010-05-13,5,2.83583
2010-05-19,,1.0,2010-05-13,6,2.90042586
2010-05-20,,1.0,2010-05-13,7,2.93960523
2010-05-21,,1.0,2010-05-13,8,2.96336872
2010-05-22,,1.0,2010-05-13,9,2.97778201
2010-05-23,,1.0,2010-05-13,10,2.98652411
2010-05-24,,1.0,2010-05-13,11,2.99182646
2010-05-25,,1.0,2010-05-13,12,2.9950425
2010-05-26,,1.0,2010-05-13,13,2.99699312
2010-05-27,2.0,2.0,2010-05-27,0,2.0
2010-05-28,,2.0,2010-05-27,1,2.39346934
2010-05-29,,2.0,2010-05-27,2,2.63212056
2010-05-30,,2.0,2010-05-27,3,2.77686984
2010-05-31,,2.0,2010-05-27,4,2.86466472
2010-06-01,,2.0,2010-05-27,5,2.917915
2010-06-02,,2.0,2010-05-27,6,2.95021293
2010-06-03,,2.0,2010-05-27,7,2.96980262
2010-06-04,,2.0,2010-05-27,8,2.98168436
2010-06-05,,2.0,2010-05-27,9,2.988891
2010-06-06,,2.0,2010-05-27,10,2.99326205
2010-06-07,3.5,3.5,2010-06-07,0,3.5
2010-06-08,,3.5,2010-06-07,1,3.30326533
2010-06-09,,3.5,2010-06-07,2,3.18393972
2010-06-10,2.25,2.25,2010-06-10,0,2.25
2010-06-11,,2.25,2010-06-10,1,2.54510201
2010-06-12,,2.25,2010-06-10,2,2.72409042
2010-06-13,,2.25,2010-06-10,3,2.83265238
2010-06-14,,2.25,2010-06-10,4,2.89849854
2010-06-15,,2.25,2010-06-10,5,2.93843625
2010-06-16,,2.25,2010-06-10,6,2.9626597
2010-06-17,,2.25,2010-06-10,7,2.97735196
2010-06-18,,2.25,2010-06-10,8,2.98626327
2010-06-19,,2.25,2010-06-10,9,2.99166825
2010-06-20,,2.25,2010-06-10,10,2.99494654
2010-06-21,,2.25,2010-06-10,11,2.99693492
2010-06-22,,2.25,2010-06-10,12,2.99814094
2010-06-23,,2.25,2010-06-10,13,2.99887242
2010-06-24,,2.25,2010-06-10,14,2.99931609
2010-06-25,,2.25,2010-06-10,15,2.99958519
2010-06-26,,2.25,2010-06-10,16,2.9997484
2010-06-27,,2.25,2010-06-10,17,2.9998474
2010-06-28,2.5,2.5,2010-06-28,0,2.5
2010-06-29,,2.5,2010-06-28,1,2.69673467
