Date,Sentiment_avg,Last_valid_sentiment,Last_valid_date,Days_since_last_valid,Decayed_sentiment
2010-02-06,,1.0,2010-02-05,1,1.78693868
2010-02-07,,1.0,2010-02-05,2,2.26424112
2010-02-08,,1.0,2010-02-05,3,2.55373968
2010-02-09,3.5,3.5,2010-02-09,0,3.5
2010-02-10,2.0,2.0,2010-02-10,0,2.0
2010-02-11,3.66666667,3.66666667,2010-02-11,0,3.66666667
2010-02-12,2.25,2.25,2010-02-12,0,2.25
2010-02-13,,2.25,2010-02-12,1,2.54510201
2010-02-14,,2.25,2010-02-12,2,2.72409042
2010-02-15,,2.25,2010-02-12,3,2.83265238
2010-02-16,3.42857143,3.42857143,2010-02-16,0,3.42857143
2010-02-17,,3.42857143,2010-02-16,1,3.25994171
2010-02-18,,3.42857143,2010-02-16,2,3.15766262
2010-02-19,3.0,3.0,2010-02-19,0,3.0
2010-02-20,,3.0,2010-02-19,1,3.0
2010-02-21,,3.0,2010-02-19,2,3.0
2010-02-22,,3.0,2010-02-19,3,3.0
2010-02-23,,3.0,2010-02-19,4,3.0
2010-02-24,1.0,1.0,2010-02-24,0,1.0
2010-02-25,1.0,1.0,2010-02-25,0,1.0
2010-02-26,2.0,2.0,2010-02-26,0,2.0
2010-02-27,,2.0,2010-02-26,1,2.39346934
2010-02-28,,2.0,2010-02-26,2,2.63212056
2010-03-01,,2.0,2010-02-26,3,2.77686984
2010-03-02,3.2,3.2,2010-03-02,0,3.2
2010-03-03,,3.2,2010-03-02,1,3.12130613
2010-03-04,,3.2,2010-03-02,2,3.07357589
2010-03-05,,3.2,2010-03-02,3,3.04462603
2010-03-06,1.0,1.0,2010-03-06,0,1.0
2010-03-07,,1.0,2010-03-06,1,1.78693868
2010-03-08,2.5,2.5,2010-03-08,0,2.5
2010-03-09,,2.5,2010-03-08,1,2.69673467
2010-03-10,1.0,1.0,2010-03-10,0,1.0
2010-03-11,2.5,2.5,2010-03-11,0,2.5
2010-03-12,,2.5,2010-03-11,1,2.69673467
2010-03-13,,2.5,2010-03-11,2,2.81606028
2010-03-14,,2.5,2010-03-11,3,2.88843492
2010-03-15,2.0,2.0,2010-03-15,0,2.0
2010-03-16,2.33333333,2.33333333,2010-03-16,0,2.33333333
2010-03-17,3.25,3.25,2010-03-17,0,3.25
2010-03-18,2.4,2.4,2010-03-18,0,2.4
2010-03-19,,2.4,2010-03-18,1,2.6360816
2010-03-20,,2.4,2010-03-18,2,2.77927234
2010-03-21,,2.4,2010-03-18,3,2.8661219
2010-03-22,,2.4,2010-03-18,4,2.91879883
2010-03-23,,2.4,2010-03-18,5,2.950749
2010-03-24,,2.4,2010-03-18,6,2.97012776
2010-03-25,3.5,3.5,2010-03-25,0,3.5
2010-03-26,3.0,3.0,2010-03-26,0,3.0
2010-03-27,,3.0,2010-03-26,1,3.0
2010-03-28,,3.0,2010-03-26,2,3.0
2010-03-29,,3.0,2010-03-26,3,3.0
2010-03-30,,3.0,2010-03-26,4,3.0
2010-03-31,3.0,3.0,2010-03-31,0,3.0
2010-04-01,3.7,3.7,2010-04-01,0,3.7
2010-04-02,,3.7,2010-04-01,1,3.42457146
2010-04-03,1.5,1.5,2010-04-03,0,1.5
2010-04-04,,1.5,2010-04-03,1,2.09020401
2010-04-05,2.75,2.75,2010-04-05,0,2.75
2010-04-06,2.0,2.0,2010-04-06,0,2.0
2010-04-07,2.75,2.75,2010-04-07,0,2.75
2010-04-08,2.0,2.0,2010-04-08,0,2.0
2010-04-09,2.61111111,2.61111111,2010-04-09,0,2.61111111
2010-04-10,,2.61111111,2010-04-09,1,2.76412697
2010-04-11,,2.61111111,2010-04-09,2,2.85693577
2010-04-12,2.63333333,2.63333333,2010-04-12,0,2.63333333
2010-04-13,2.42857143,2.42857143,2010-04-13,0,2.42857143
2010-04-14,2.85714286,2.85714286,2010-04-14,0,2.85714286
2010-04-15,3.33333333,3.33333333,2010-04-15,0,3.33333333
2010-04-16,4.0,4.0,2010-04-16,0,4.0
2010-04-17,,4.0,2010-04-16,1,3.60653066
2010-04-18,,4.0,2010-04-16,2,3.36787944
2010-04-19,1.83333333,1.83333333,2010-04-19,0,1.83333333
2010-04-20,4.0,4.0,2010-04-20,0,4.0
2010-04-21,3.0,3.0,2010-04-21,0,3.0
2010-04-22,3.0,3.0,2010-04-22,0,3.0
2010-04-23,,3.0,2010-04-22,1,3.0
2010-04-24,,3.0,2010-04-22,2,3.0
2010-04-25,,3.0,2010-04-22,3,3.0
2010-04-26,,3.0,2010-04-22,4,3.0
2010-04-27,2.0,2.0,2010-04-27,0,2.0
2010-04-28,2.6,2.6,2010-04-28,0,2.6
2010-04-29,,2.6,2010-04-28,1,2.75738774
2010-04-30,,2.6,2010-04-28,2,2.85284822
2010-05-01,,2.6,2010-04-28,3,2.91074794
2010-05-02,,2.6,2010-04-28,4,2.94586589
2010-05-03,2.5,2.5,2010-05-03,0,2.5
2010-05-04,2.0,2.0,2010-05-04,0,2.0
2010-05-05,2.4,2.4,2010-05-05,0,2.4
2010-05-06,1.0,1.0,2010-05-06,0,1.0
2010-05-07,,1.0,2010-05-06,1,1.78693868
2010-05-08,,1.0,2010-05-06,2,2.26424112
2010-05-09,,1.0,2010-05-06,3,2.55373968
2010-05-10,2.0,2.0,2010-05-10,0,2.0
2010-05-11,1.0,1.0,2010-05-11,0,1.0
2010-05-12,1.5,1.5,2010-05-12,0,1.5
2010-05-13,3.14285714,3.14285714,2010-05-13,0,3.14285714
2010-05-14,2.5,2.5,2010-05-14,0,2.5
2010-05-15,,2.5,2010-05-14,1,2.69673467
2010-05-16,,2.5,2010-05-14,2,2.81606028
2010-05-17,2.0,2.0,2010-05-17,0,2.0
2010-05-18,2.25,2.25,2010-05-18,0,2.25
2010-05-19,4.5,4.5,2010-05-19,0,4.5
2010-05-20,2.66666667,2.66666667,2010-05-20,0,2.66666667
2010-05-21,1.66666667,1.66666667,2010-05-21,0,1.66666667
2010-05-22,,1.66666667,2010-05-21,1,2.19129245
2010-05-23,,1.66666667,2010-05-21,2,2.50949408
2010-05-24,2.5,2.5,2010-05-24,0,2.5
2010-05-25,2.66666667,2.66666667,2010-05-25,0,2.66666667
2010-05-26,2.8,2.8,2010-05-26,0,2.8
2010-05-27,,2.8,2010-05-26,1,2.87869387
2010-05-28,2.16666667,2.16666667,2010-05-28,0,2.16666667
2010-05-29,,2.16666667,2010-05-28,1,2.49455778
2010-05-30,,2.16666667,2010-05-28,2,2.6934338
2010-05-31,,2.16666667,2010-05-28,3,2.8140582
2010-06-01,2.625,2.625,2010-06-01,0,2.625
2010-06-02,2.16666667,2.16666667,2010-06-02,0,2.16666667
2010-06-03,2.375,2.375,2010-06-03,0,2.375
2010-06-04,,2.375,2010-06-03,1,2.62091834
2010-06-05,,2.375,2010-06-03,2,2.77007535
2010-06-06,,2.375,2010-06-03,3,2.86054365
2010-06-07,2.33333333,2.33333333,2010-06-07,0,2.33333333
2010-06-08,2.0,2.0,2010-06-08,0,2.0
2010-06-09,,2.0,2010-06-08,1,2.39346934
2010-06-10,4.0,4.0,2010-06-10,0,4.0
2010-06-11,5.0,5.0,2010-06-11,0,5.0
2010-06-12,,5.0,2010-06-11,1,4.21306132
2010-06-13,,5.0,2010-06-11,2,3.73575888
2010-06-14,1.5,1.5,2010-06-14,0,1.5
2010-06-15,4.25,4.25,2010-06-15,0,4.25
2010-06-16,,4.25,2010-06-15,1,3.75816332
2010-06-17,,4.25,2010-06-15,2,3.4598493
2010-06-18,3.0,3.0,2010-06-18,0,3.0
2010-06-19,,3.0,2010-06-18,1,3.0
2010-06-20,5.0,5.0,2010-06-20,0,5.0
2010-06-21,3.0,3.0,2010-06-21,0,3.0
2010-06-22,2.375,2.375,2010-06-22,0,2.375
2010-06-23,1.875,1.875,2010-06-23,0,1.875
2010-06-24,3.0,3.0,2010-06-24,0,3.0
2010-06-25,,3.0,2010-06-24,1,3.0
2010-06-26,,3.0,2010-06-24,2,3.0
2010-06-27,,3.0,2010-06-24,3,3.0
2010-06-28,2.16666667,2.16666667,2010-06-28,0,2.16666667
2010-06-29,2.5,2.5,2010-06-29,0,2.5
2010-06-30,3.5,3.5,2010-06-30,0,3.5
2010-07-01,1.5,1.5,2010-07-01,0,1.5
2010-07-02,2.5,2.5,2010-07-02,0,2.5
2010-07-03,,2.5,2010-07-02,1,2.69673467
2010-07-04,,2.5,2010-07-02,2,2.81606028
2010-07-05,,2.5,2010-07-02,3,2.88843492
2010-07-06,2.28571429,2.28571429,2010-07-06,0,2.28571429
2010-07-07,2.375,2.375,2010-07-07,0,2.375
2010-07-08,2.0,2.0,2010-07-08,0,2.0
2010-07-09,2.75,2.75,2010-07-09,0,2.75
2010-07-10,1.5,1.5,2010-07-10,0,1.5
2010-07-11,2.5,2.5,2010-07-11,0,2.5
2010-07-12,2.69387755,2.69387755,2010-07-12,0,2.69387755
2010-07-13,2.88095238,2.88095238,2010-07-13,0,2.88095238
2010-07-14,2.58333333,2.58333333,2010-07-14,0,2.58333333
2010-07-15,1.66666667,1.66666667,2010-07-15,0,1.66666667
